2026-02-03 21:50:09,157 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-02-03 21:50:09,201 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-02-03 21:50:09,641 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+wallpaper+4k+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-44862176008667611169459253676785625015&p=-1 200
2026-02-03 21:50:09,671 | INFO | tifa_archivist.search | image search category=wallpaper query=Tifa Lockhart Final Fantasy VII wallpaper 4k -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-02-03 21:50:09,674 | INFO | tifa_archivist.orchestrator | search cap reached urls=50 max_urls=50
2026-02-03 21:50:09,707 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+original+game+screenshot+official+art+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-153716994728755044844266017686592883653&p=-1 200
2026-02-03 21:50:09,737 | INFO | tifa_archivist.search | image search category=original_game query=Tifa Lockhart Final Fantasy VII original game screenshot official art -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-02-03 21:50:10,005 | INFO | tifa_archivist.orchestrator | image decode skipped url=https://wallpapers.com/images/hd/tifa-lockhart-4k-wallpaper-yvjh0ynnpf03o61c.jpg reason=decode_failed_allowed mime=image/jpeg
2026-02-03 21:50:13,416 | WARNING | tifa_archivist.download | download failed url=https://images6.alphacoders.com/436/436981.jpg error=content-length mismatch
2026-02-03 21:50:13,743 | WARNING | tifa_archivist.download | download failed url=https://images.hdqwalls.com/wallpapers/tifa-lockhart-final-fantasy-7-remake-4k-cu.jpg error=content-length mismatch
2026-02-03 21:50:13,915 | WARNING | tifa_archivist.download | download failed url=https://4.bp.blogspot.com/-G_J0akO_F30/XQ8e1Cf554I/AAAAAAAAHtY/fXSLWRvdXfkusN1p8VIzo87BMJVOt6YFQCKgBGAs/w0/tifa-lockhart-final-fantasy-7-remake-uhdpaper.com-4K-37.jpg error=content-length mismatch
2026-02-03 21:50:13,936 | WARNING | tifa_archivist.download | download failed url=https://wallpapercave.com/wp/wp5965634.jpg error=content-length mismatch
2026-02-03 21:50:14,252 | WARNING | tifa_archivist.download | download failed url=https://wallpapercave.com/wp/wp5462927.jpg error=content-length mismatch
2026-02-03 21:50:14,622 | WARNING | tifa_archivist.download | download failed url=https://wallpapers.com/images/hd/tifa-lockhart-4k-wallpaper-68qushxi0ujmisu0.jpg error=content-length mismatch
2026-02-03 21:50:14,667 | WARNING | tifa_archivist.download | download failed url=https://a-static.besthdwallpaper.com/tifa-lockhart-fantasy-art-final-fantasy-vii-remake-video-game-wallpaper-3840x2160-68631_54.jpg error=content-length mismatch
2026-02-03 21:50:17,107 | WARNING | tifa_archivist.download | download failed url=https://images6.alphacoders.com/436/436981.jpg error=content-length mismatch
2026-02-03 21:50:17,710 | WARNING | tifa_archivist.download | download failed url=https://images.hdqwalls.com/wallpapers/tifa-lockhart-final-fantasy-7-remake-4k-cu.jpg error=content-length mismatch
2026-02-03 21:50:18,238 | WARNING | tifa_archivist.download | download failed url=https://wallpapercave.com/wp/wp5965634.jpg error=content-length mismatch
