2026-02-03 22:47:12,411 | INFO | primp | response: https://duckduckgo.com/?q=Tifa+Lockhart+Final+Fantasy+VII+NSFW+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com 200
2026-02-03 22:47:12,875 | INFO | primp | response: https://duckduckgo.com/i.js?o=json&q=Tifa+Lockhart+Final+Fantasy+VII+NSFW+-site%3Arare-gallery.com+-site%3Awallpapersden.com+-site%3Aimages.wallpapersden.com&l=us-en&vqd=4-252766933842955138059964021234488510811&p=-1 200
2026-02-03 22:47:12,906 | INFO | tifa_archivist.search | image search category=Tifa lockheart NSFW query=Tifa Lockhart Final Fantasy VII NSFW -site:rare-gallery.com -site:wallpapersden.com -site:images.wallpapersden.com results=80 source=ddg
2026-02-03 22:47:12,910 | INFO | tifa_archivist.orchestrator | search cap reached urls=50 max_urls=50
2026-02-03 22:47:16,553 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/sample/1d/41/sample-1d417cc8c4df5c687549c8af06e9b1ba.jpg error=status 403
2026-02-03 22:47:16,596 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/original/99/18/99187411ffe801544a06896406ec06bd.jpg error=status 403
2026-02-03 22:47:16,690 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/original/02/b0/02b02b5cc57802741a2df77f0f580954.jpg error=status 403
2026-02-03 22:47:16,701 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/original/dd/7f/dd7fd2b042a18819e72681ae1831d781.jpg error=status 403
2026-02-03 22:47:20,748 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/sample/1d/41/sample-1d417cc8c4df5c687549c8af06e9b1ba.jpg error=status 403
2026-02-03 22:47:21,013 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/original/99/18/99187411ffe801544a06896406ec06bd.jpg error=status 403
2026-02-03 22:47:21,377 | WARNING | tifa_archivist.download | download failed url=https://cdn.donmai.us/original/dd/7f/dd7fd2b042a18819e72681ae1831d781.jpg error=status 403
